,tokushima-vortis,sanfrecce-hiroshima
Shots,11,12
ShotsOnTarget,3,2
ShotsFromPK,0,1
Passes,466,578
Crosses,7,11
DirectFK,11,15
IndirectFK,3,2
CK,3,6
Throwin,27,17
Dribbling,6,12
Tackles,20,19
Clearances,22,21
Intercepts,3,4
Offsides,2,3
YellowCards,2,1
RedCards,0,0
30mLineEntries,40,46
PenaltyAreaEntries,15,12
Attacks,111,106
ChanceBuildingRate,9.9,11.3
Possession,48.9,51.1
