,gamba-osaka,nagoya-grampus-eight
Shots,17,13
ShotsOnTarget,7,4
ShotsFromPK,0,0
Passes,655,354
Crosses,24,12
DirectFK,15,8
IndirectFK,1,4
CK,6,5
Throwin,27,12
Dribbling,15,6
Tackles,14,17
Clearances,9,35
Intercepts,4,4
Offsides,4,1
YellowCards,0,1
RedCards,0,0
30mLineEntries,63,29
PenaltyAreaEntries,20,12
DistanceCovered,114248,112009
Sprints,172,171
Attacks,118,103
ChanceBuildingRate,14.4,12.6
Possession,61,39
