,yokohama-fa-marinos,vegalta-sendai
ExpG,3.179,1.189
Shots,18,5
ShotsOnTarget,4,2
ShotsFromPK,1,1
Passes,723,293
Crosses,25,11
DirectFK,11,13
IndirectFK,6,2
CK,3,4
Throwin,20,18
Dribbling,23,10
Tackles,20,30
Clearances,25,26
Intercepts,1,0
Offsides,2,6
YellowCards,1,1
RedCards,0,0
30mLineEntries,76,13
PenaltyAreaEntries,23,4
DistanceCovered,119772,112457
Sprints,211,153
Attacks,117,121
ChanceBuildingRate,15.4,4.1
Possession,66.4,33.6
