,jubilo-iwata,shimizu-s-pulse
Shots,14,5
ShotsOnTarget,1,2
ShotsFromPK,0,0
Passes,555,332
Crosses,12,9
DirectFK,14,15
IndirectFK,4,1
CK,5,1
Throwin,32,23
Dribbling,19,10
Tackles,26,34
Clearances,23,28
Intercepts,2,3
Offsides,1,3
YellowCards,2,2
RedCards,0,0
30mLineEntries,42,16
PenaltyAreaEntries,15,8
Attacks,141,145
ChanceBuildingRate,9.9,3.4
Possession,59,41
