,vegalta-sendai,oita-trinita
Shots,14,19
ShotsOnTarget,6,2
ShotsFromPK,1,0
Passes,411,448
Crosses,15,22
DirectFK,7,9
IndirectFK,3,4
CK,6,7
Throwin,21,29
Dribbling,10,11
Tackles,7,12
Clearances,25,32
Intercepts,4,1
Offsides,3,3
YellowCards,0,3
RedCards,0,0
30mLineEntries,45,35
PenaltyAreaEntries,14,14
Attacks,116,122
ChanceBuildingRate,12.1,15.6
Possession,50.5,49.5
