,shonan-bellmare,nagoya-grampus-eight
Shots,21,24
ShotsOnTarget,5,7
ShotsFromPK,0,1
Passes,466,403
Crosses,21,19
DirectFK,14,13
IndirectFK,1,3
CK,10,6
Throwin,14,22
Dribbling,20,19
Tackles,25,27
Clearances,25,24
Intercepts,5,4
Offsides,4,1
YellowCards,3,0
RedCards,0,1
30mLineEntries,43,46
PenaltyAreaEntries,20,23
Attacks,126,119
ChanceBuildingRate,16.7,20.2
Possession,51.9,48.1
