,kawasaki-frontale,urawa-red-diamonds
Shots,15,12
ShotsOnTarget,2,7
ShotsFromPK,0,0
Passes,667,365
Crosses,11,11
DirectFK,23,10
IndirectFK,2,6
CK,10,0
Throwin,17,11
Dribbling,16,10
Tackles,24,20
Clearances,9,31
Intercepts,1,1
Offsides,6,2
YellowCards,1,2
RedCards,1,0
30mLineEntries,55,30
PenaltyAreaEntries,17,12
DistanceCovered,106322,115522
Sprints,140,162
Attacks,123,94
ChanceBuildingRate,12.2,12.8
Possession,62.1,37.9
