,albirex-niigata,kashiwa-reysol
Shots,15,16
ShotsOnTarget,6,6
ShotsFromPK,0,0
Passes,460,491
Crosses,11,13
DirectFK,8,14
IndirectFK,0,2
CK,5,6
Throwin,35,29
Dribbling,17,14
Tackles,37,30
Clearances,23,31
Intercepts,5,3
Offsides,1,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,47,38
PenaltyAreaEntries,20,16
Attacks,166,159
ChanceBuildingRate,9.0,10.1
Possession,49.7,50.3
