,shimizu-s-pulse,sanfrecce-hiroshima
ExpG,0.806,2.213
Shots,9,22
ShotsOnTarget,2,5
ShotsFromPK,0,0
Passes,381,692
Crosses,9,27
DirectFK,10,12
IndirectFK,0,1
CK,4,3
Throwin,18,20
Dribbling,6,17
Tackles,23,15
Clearances,32,21
Intercepts,1,2
Offsides,1,0
YellowCards,0,0
RedCards,0,0
30mLineEntries,29,83
PenaltyAreaEntries,8,31
DistanceCovered,109763,111971
Sprints,156,148
Attacks,118,110
ChanceBuildingRate,7.6,20.0
Possession,38.4,61.6
