,cerezo-osaka,kashima-antlers
Shots,14,22
ShotsOnTarget,7,7
ShotsFromPK,0,0
Passes,497,447
Crosses,24,12
DirectFK,13,13
IndirectFK,3,3
CK,2,3
Throwin,19,26
Dribbling,19,19
Tackles,26,19
Clearances,15,18
Intercepts,3,5
Offsides,3,2
YellowCards,3,1
RedCards,0,0
30mLineEntries,63,52
PenaltyAreaEntries,13,21
Attacks,129,130
ChanceBuildingRate,10.9,16.9
Possession,51.9,48.1
