,albirex-niigata,yokohama-fa-marinos
Shots,7,10
ShotsOnTarget,2,4
ShotsFromPK,0,0
Passes,340,427
Crosses,15,18
DirectFK,16,20
IndirectFK,5,3
CK,2,11
Throwin,32,28
Dribbling,12,14
Tackles,23,21
Clearances,36,27
Intercepts,2,0
Offsides,3,5
YellowCards,0,1
RedCards,0,0
30mLineEntries,37,43
PenaltyAreaEntries,7,8
Attacks,140,153
ChanceBuildingRate,5.0,6.5
Possession,45.1,54.9
