,shonan-bellmare,fc-tokyo
Shots,4,9
ShotsOnTarget,0,2
ShotsFromPK,0,0
Passes,576,362
Crosses,15,17
DirectFK,19,21
IndirectFK,7,1
CK,2,7
Throwin,35,21
Dribbling,8,10
Tackles,23,30
Clearances,27,22
Intercepts,0,4
Offsides,1,7
YellowCards,2,1
RedCards,0,0
30mLineEntries,36,26
PenaltyAreaEntries,3,9
DistanceCovered,120215,119241
Sprints,182,180
Attacks,145,142
ChanceBuildingRate,2.8,6.3
Possession,59.5,40.5
