,sagan-tosu,urawa-red-diamonds
Shots,10,17
ShotsOnTarget,3,4
ShotsFromPK,0,0
Passes,269,557
Crosses,5,13
DirectFK,18,17
IndirectFK,5,0
CK,5,6
Throwin,9,17
Dribbling,10,11
Tackles,13,15
Clearances,23,10
Intercepts,2,1
Offsides,0,5
YellowCards,1,3
RedCards,0,0
30mLineEntries,30,55
PenaltyAreaEntries,13,15
DistanceCovered,105509,104095
Sprints,118,128
Attacks,106,105
ChanceBuildingRate,9.4,16.2
Possession,39.1,60.9
