,yokohama-fa-marinos,kashima-antlers
Shots,6,16
ShotsOnTarget,2,6
ShotsFromPK,0,0
Passes,388,454
Crosses,16,12
DirectFK,23,10
IndirectFK,3,1
CK,2,8
Throwin,31,25
Dribbling,13,11
Tackles,26,23
Clearances,28,34
Intercepts,5,0
Offsides,1,3
YellowCards,0,3
RedCards,0,0
30mLineEntries,39,54
PenaltyAreaEntries,5,17
Attacks,145,137
ChanceBuildingRate,4.1,11.7
Possession,48.5,51.5
