,vegalta-sendai,matsumoto-yamaga
ExpG,2.56,0.941
Shots,29,12
ShotsOnTarget,5,5
ShotsFromPK,0,0
Passes,681,290
Crosses,43,6
DirectFK,4,9
IndirectFK,1,0
CK,13,7
Throwin,29,13
Dribbling,36,4
Tackles,22,22
Clearances,10,40
Intercepts,2,1
Offsides,0,1
YellowCards,0,0
RedCards,0,0
30mLineEntries,63,20
PenaltyAreaEntries,21,9
DistanceCovered,112291,117328
Sprints,105,144
Attacks,121,113
ChanceBuildingRate,24.0,10.6
Possession,63.5,36.5
