,shonan-bellmare,nagoya-grampus-eight
Shots,16,14
ShotsOnTarget,6,5
ShotsFromPK,0,0
Passes,352,346
Crosses,19,11
DirectFK,20,12
IndirectFK,3,2
CK,5,3
Throwin,27,29
Dribbling,12,11
Tackles,12,16
Clearances,21,32
Intercepts,0,1
Offsides,2,3
YellowCards,3,3
RedCards,0,0
30mLineEntries,35,28
PenaltyAreaEntries,14,14
DistanceCovered,111759,103498
Sprints,173,134
Attacks,133,123
ChanceBuildingRate,12.0,11.4
Possession,50.6,49.4
