,yokohama-fa-marinos,vissel-kobe
ExpG,2.138,1.002
Shots,15,13
ShotsOnTarget,5,6
ShotsFromPK,0,0
Passes,634,384
Crosses,26,13
DirectFK,16,11
IndirectFK,10,2
CK,3,3
Throwin,23,15
Dribbling,20,9
Tackles,8,14
Clearances,25,19
Intercepts,4,3
Offsides,2,10
YellowCards,0,2
RedCards,0,0
30mLineEntries,64,26
PenaltyAreaEntries,20,14
DistanceCovered,120420,110807
Sprints,245,214
Attacks,134,125
ChanceBuildingRate,11.2,10.4
Possession,58.2,41.8
