,kawasaki-frontale,sanfrecce-hiroshima
Shots,13,25
ShotsOnTarget,6,8
ShotsFromPK,0,0
Passes,637,573
Crosses,10,29
DirectFK,10,10
IndirectFK,3,3
CK,6,6
Throwin,11,13
Dribbling,13,15
Tackles,21,23
Clearances,30,16
Intercepts,3,6
Offsides,3,3
YellowCards,1,0
RedCards,0,0
30mLineEntries,55,63
PenaltyAreaEntries,15,15
Attacks,110,106
ChanceBuildingRate,11.8,23.6
Possession,52.5,47.5
