,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
13,14,2018-05-12,(土),仙台,3-1,3,1,A,ユアスタ,15115,曇,60,42,0.092,11,0.273,0.447,13.07,11.1,103.25,16.4,"['柏', 'パトリックx2']",城福　浩
14,15,2018-05-02,(日),Ｃ大阪,0-2,0,2,H,Ｅスタ,20219,晴のち曇,63,51,0.143,18,0.0,0.521,17.43,15.78,71.83,14.87,[''],城福　浩
15,16,2018-07-18,(水),Ｇ大阪,4-0,4,0,H,Ｅスタ,7835,晴のち曇,76,100,0.297,27,0.148,0.555,28.6,21.82,65.66,6.23,"['パトリックx2', '工藤', 'ティーラシン']",城福　浩
16,17,2018-07-22,(日),名古屋,0-0,0,0,A,豊田ス,20244,晴,61,50,0.181,17,0.0,0.468,18.65,14.54,55.92,10.02,[''],城福　浩
17,18,2018-07-28,(土),浦和,1-4,1,4,H,Ｅスタ,16944,晴,54,54,0.08,9,0.111,0.554,15.67,12.61,65.95,8.32,['千葉'],城福　浩
18,19,2018-08-01,(水),横浜FM,4-1,4,1,A,ニッパツ,10069,晴,68,47,0.186,18,0.222,0.337,12.38,9.8,73.58,14.58,"['パトリックx2', '渡', '千葉']",城福　浩
19,20,2018-08-05,(日),湘南,2-2,2,2,H,Ｅスタ,11304,晴,63,56,0.144,17,0.118,0.546,20.51,14.78,83.65,11.11,"['パトリック', '柏']",城福　浩
20,21,2018-08-11,(土),長崎,2-0,2,0,H,Ｅスタ,20285,晴,52,44,0.136,15,0.133,0.483,14.73,10.49,70.61,14.99,"['柴崎', 'ティーラシン']",城福　浩
21,22,2018-08-15,(水),神戸,1-1,1,1,A,ノエスタ,25499,雨のち曇,62,72,0.163,15,0.067,0.43,17.49,14.37,63.73,13.26,['パトリック'],城福　浩
22,23,2018-08-19,(日),川崎Ｆ,1-2,1,2,H,Ｅスタ,14211,晴,53,43,0.087,9,0.111,0.377,12.4,10.24,66.46,13.25,['パトリック'],城福　浩
23,24,2018-08-25,(土),Ｃ大阪,1-0,1,0,A,ヤンマー,23442,晴,66,45,0.102,12,0.083,0.469,16.41,14.29,87.68,14.18,['稲垣'],城福　浩
24,25,2018-09-01,(土),鹿島,3-1,3,1,H,Ｅスタ,13107,曇,54,37,0.098,12,0.25,0.466,12.61,10.74,88.92,19.19,"['佐々木', 'パトリックx2']",城福　浩
25,26,2018-09-15,(土),鳥栖,0-1,0,1,A,ベアスタ,15899,晴,55,47,0.088,10,0.0,0.459,14.36,11.65,60.96,16.25,[''],城福　浩
26,27,2018-09-22,(土),FC東京,1-1,1,1,H,Ｅスタ,19031,晴,50,39,0.117,14,0.071,0.478,11.73,8.92,76.83,16.71,['パトリック'],城福　浩
27,28,2018-09-29,(土),Ｇ大阪,0-1,0,1,A,吹田Ｓ,34660,曇一時雨,63,42,0.104,12,0.0,0.412,13.38,8.23,86.62,13.36,[''],城福　浩
28,29,2018-10-06,(土),柏,0-3,0,3,H,Ｅスタ,11683,曇,56,49,0.101,17,0.0,0.584,18.9,14.75,96.42,15.23,[''],城福　浩
29,30,2018-10-02,(土),清水,0-2,0,2,A,アイスタ,14870,晴,64,59,0.106,13,0.0,0.627,21.97,18.07,100.76,12.23,[''],城福　浩
30,31,2018-11-03,(土),磐田,2-3,2,3,A,ヤマハ,14657,曇,66,52,0.103,14,0.143,0.483,20.32,15.81,102.75,19.98,"['ティーラシン', '和田']",城福　浩
31,32,2018-11-01,(土),仙台,0-1,0,1,H,Ｅスタ,13091,晴,58,53,0.153,19,0.0,0.47,15.98,11.31,86.11,14.51,[''],城福　浩
32,33,2018-11-24,(土),名古屋,1-2,1,2,H,Ｅスタ,21997,晴,61,54,0.118,14,0.071,0.562,23.78,17.89,98.62,10.88,['柏'],城福　浩
33,34,2018-12-01,(土),札幌,2-2,2,2,A,札幌ド,34250,屋内,59,47,0.155,18,0.111,0.5,16.41,12.21,60.54,12.95,"['馬渡', '柴崎']",城福　浩
