Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2019-02-25,shimizu-s-pulse,11,0-0,0,0,0,1,アイスタ,19632,曇,59,49,0.074,10,0.0,0.567,17.84,11.64,83.65,15.61,[''],大岩　剛
2,2019-03-03,gamba-osaka,13,1-0,1,0,1,0,カシマ,24545,晴のち曇,64,53,0.164,24,0.042,0.453,16.05,11.31,145.14,17.91,['金崎'],大岩　剛
3,2019-03-01,sanfrecce-hiroshima,16,0-1,0,1,2,0,カシマ,16799,晴,53,41,0.124,17,0.0,0.596,16.84,12.97,94.4,13.88,[''],大岩　剛
4,2019-03-18,sagan-tosu,17,1-0,1,0,1,1,ベアスタ,17757,晴のち曇,56,32,0.066,9,0.111,0.479,10.99,7.8,89.76,19.12,['金崎'],大岩　剛
5,2019-03-31,consadole-sapporo,1,0-0,0,0,0,0,カシマ,19629,晴,60,40,0.11,14,0.0,0.494,13.15,10.53,73.79,16.79,[''],大岩　剛
6,2019-04-07,shonan-bellmare,10,1-2,1,2,2,1,ＢＭＷス,13947,曇のち雨,65,46,0.132,18,0.056,0.593,17.51,15.32,67.54,12.75,['鈴木'],大岩　剛
7,2019-04-11,fc-tokyo,6,1-2,1,2,2,1,味スタ,17260,曇,58,47,0.072,10,0.1,0.597,17.81,14.48,67.28,12.31,['金崎'],大岩　剛
8,2019-04-14,nagoya-grampus-eight,12,2-0,2,0,1,0,カシマ,17921,曇,55,45,0.102,14,0.143,0.383,11.88,9.5,136.64,20.42,['金崎x2'],大岩　剛
9,2019-04-21,kawasaki-frontale,7,1-4,1,4,2,1,等々力,24358,晴,54,43,0.104,14,0.071,0.541,13.9,9.59,107.26,8.09,['永木'],大岩　剛
10,2019-04-25,vissel-kobe,15,1-1,1,1,0,0,カシマ,7672,晴のち曇,75,63,0.101,15,0.067,0.473,17.91,14.13,137.95,12.99,['鈴木'],大岩　剛
11,2019-04-28,yokohama-fa-marinos,8,0-3,0,3,2,1,日産ス,27348,晴,68,56,0.111,18,0.0,0.484,16.32,11.56,131.29,15.7,[''],大岩　剛
12,2019-05-02,other,0,2-1,2,1,1,0,カシマ,11848,曇のち雨,45,50,0.092,11,0.182,0.483,12.91,10.98,84.16,17.26,"['鈴木', '金崎']",大岩　剛
13,2019-05-05,urawa-red-diamonds,4,1-0,1,0,1,0,カシマ,33647,晴,37,50,0.082,10,0.1,0.416,8.41,6.7,84.37,17.32,['金崎'],大岩　剛
15,2019-05-02,vegalta-sendai,2,1-2,1,2,2,0,カシマ,23942,晴,60,45,0.079,11,0.091,0.516,18.01,14.52,118.21,11.92,['鈴木'],大岩　剛
16,2019-07-18,other,0,3-3,3,3,0,1,ヤマハ,13577,晴,55,53,0.116,13,0.231,0.602,20.96,15.33,73.72,8.61,"['遠藤', '安部', '土居']",大岩　剛
