Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
13,2019-05-05,other,0,1-2,1,2,2,0,三協Ｆ柏,14208,晴,54,54,0.085,11,0.091,0.542,15.41,11.84,62.88,8.42,['江坂'],下平　隆宏
14,2019-05-12,kawasaki-frontale,7,1-2,1,2,2,0,三協Ｆ柏,12584,晴一時曇,43,32,0.128,15,0.067,0.415,11.31,8.75,67.16,21.93,['伊東'],下平　隆宏
15,2019-05-02,nagoya-grampus-eight,12,3-2,3,2,1,1,豊田ス,21327,晴のち曇,58,39,0.118,16,0.188,0.457,13.09,11.07,108.32,16.51,"['中山', '江坂x2']",加藤　望
16,2019-07-18,fc-tokyo,6,0-1,0,1,2,0,三協Ｆ柏,11453,晴,58,49,0.116,16,0.0,0.494,15.58,8.72,75.78,12.37,[''],加藤　望
17,2019-07-22,kashima-antlers,3,2-6,2,6,2,1,カシマ,24480,晴,53,38,0.106,13,0.154,0.511,16.78,11.27,76.25,12.1,"['キムボギョン', '江坂']",加藤　望
18,2019-07-28,vissel-kobe,15,0-1,0,1,2,1,ノエスタ,22879,曇,48,55,0.125,14,0.0,0.418,11.65,9.43,69.37,14.41,[''],加藤　望
19,2019-08-01,shonan-bellmare,10,0-2,0,2,2,0,三協Ｆ柏,9846,晴,58,51,0.179,24,0.0,0.628,19.85,13.67,73.94,13.75,[''],加藤　望
20,2019-08-05,consadole-sapporo,1,2-1,2,1,1,1,札幌ド,26805,屋内,61,43,0.178,23,0.087,0.478,20.52,11.22,102.38,18.96,"['瀬川', '江坂']",加藤　望
21,2019-08-11,vegalta-sendai,2,0-2,0,2,2,0,三協Ｆ柏,12666,曇,60,52,0.129,15,0.0,0.523,19.0,16.3,103.91,10.55,[''],加藤　望
22,2019-08-15,fc-tokyo,6,1-0,1,0,1,1,味スタ,20986,晴,36,43,0.054,7,0.143,0.476,12.4,9.85,80.55,18.74,['瀬川'],加藤　望
23,2019-08-19,other,0,0-2,0,2,2,1,ヤマハ,13515,晴,48,57,0.107,12,0.0,0.504,15.66,12.27,68.0,12.86,[''],加藤　望
24,2019-08-25,other,0,5-1,5,1,1,0,三協Ｆ柏,11534,晴,43,64,0.126,14,0.357,0.502,13.51,10.84,86.58,9.9,"['クリスティアーノx2', '伊東', '手塚', 'オルンガ']",加藤　望
25,2019-09-01,yokohama-fa-marinos,8,1-3,1,3,2,1,日産ス,22752,曇,51,51,0.124,13,0.077,0.438,14.5,10.63,49.96,15.27,['瀬川'],加藤　望
26,2019-09-15,shimizu-s-pulse,11,2-3,2,3,2,0,三協Ｆ柏,11105,雨のち曇,47,47,0.114,13,0.154,0.528,15.11,10.82,81.28,12.5,"['瀬川', 'クリスティアーノ']",加藤　望
27,2019-09-22,sagan-tosu,17,1-1,1,1,0,0,三協Ｆ柏,12922,曇のち晴,56,40,0.161,19,0.053,0.513,16.65,13.08,76.64,19.33,['瀬川'],加藤　望
28,2019-09-03,urawa-red-diamonds,4,2-3,2,3,2,1,埼玉,26431,曇のち雨,44,44,0.089,11,0.182,0.422,13.66,10.88,75.82,16.46,"['オルンガ', '瀬川']",加藤　望
29,2019-10-06,sanfrecce-hiroshima,16,3-0,3,0,1,1,Ｅスタ,11683,曇,51,44,0.096,15,0.2,0.416,10.68,7.15,128.61,22.71,"['伊東x2', 'オルンガ']",加藤　望
30,2019-10-19,nagoya-grampus-eight,12,0-1,0,1,2,0,三協Ｆ柏,11922,雨時々曇,59,46,0.207,24,0.0,0.463,18.61,13.76,88.51,12.96,[''],加藤　望
31,2019-11-03,kawasaki-frontale,7,0-3,0,3,2,1,等々力,24487,晴一時曇,47,37,0.059,7,0.0,0.407,11.04,8.0,96.7,12.14,[''],加藤　望
32,2019-11-06,kashima-antlers,3,2-3,2,3,2,0,三協Ｆ柏,9255,雨,53,48,0.139,16,0.125,0.613,20.55,15.74,71.22,9.72,['瀬川x2'],加藤　望
33,2019-11-24,cerezo-osaka,14,3-0,3,0,1,1,ヤンマー,23110,晴,50,36,0.139,16,0.188,0.395,12.51,9.08,80.86,26.45,"['中山', '江坂', 'クリスティアーノ']",岩瀬　健
34,2019-12-01,gamba-osaka,13,4-2,4,2,1,0,三協Ｆ柏,13067,晴,47,31,0.13,16,0.25,0.444,12.12,9.08,103.69,17.28,"['鈴木', '瀬川', '中山', 'クリスティアーノ']",岩瀬　健
