date,kashima-antlers,jef-united,urawa-red-diamonds,tokyo-verdy,yokohama-fa-marinos,yokohama-flugels,shimizu-s-pulse,nagoya-grampus-eight,gamba-osaka,sanfrecce-hiroshima,kashiwa-reysol,shonan-bellmare,jubilo-iwata,consadole-sapporo,vissel-kobe,cerezo-osaka,kawasaki-frontale,fc-tokyo,avispa-fukuoka,kyoto-sanga,omiya-ardija,ventforet-kofu,montedio-yamagata,oita-trinita,sagan-tosu,yokohama-fc,tokushima-vortis,matsumoto-yamaga,v-varen-nagasaki,vegalta-sendai,albirex-niigata
2013-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-03,0,0,1,0,2,0,0,0,0,-1,0,-2,0,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1
2013-03-04,0,0,1,0,2,0,0,0,0,-1,2,-2,0,0,0,1,-2,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1
2013-03-05,0,0,1,0,2,0,0,0,0,-1,2,-2,0,0,0,1,-2,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1
2013-03-06,0,0,1,0,2,0,0,0,0,-1,2,-2,0,0,0,1,-2,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1
2013-03-07,0,0,1,0,2,0,0,0,0,-1,2,-2,0,0,0,1,-2,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1
2013-03-08,0,0,1,0,2,0,0,0,0,-1,2,-2,0,0,0,1,-2,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1
2013-03-09,0,0,1,0,2,0,0,0,0,-1,2,-2,0,0,0,1,-2,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1
2013-03-10,1,0,2,0,7,0,-5,-1,0,0,-1,-2,-1,0,0,2,-2,4,0,0,1,-1,0,-1,0,0,0,0,0,-1,-2
2013-03-11,1,0,2,0,7,0,-5,-1,0,0,-1,-2,-1,0,0,2,-2,4,0,0,1,-1,0,-1,0,0,0,0,0,-1,-2
2013-03-12,1,0,2,0,7,0,-5,-1,0,0,-1,-2,-1,0,0,2,-2,4,0,0,1,-1,0,-1,0,0,0,0,0,-1,-2
2013-03-13,1,0,2,0,7,0,-5,-1,0,0,-1,-2,-1,0,0,2,-2,4,0,0,1,-1,0,-1,0,0,0,0,0,-1,-2
2013-03-14,1,0,2,0,7,0,-5,-1,0,0,-1,-2,-1,0,0,2,-2,4,0,0,1,-1,0,-1,0,0,0,0,0,-1,-2
2013-03-15,1,0,2,0,7,0,-5,-1,0,0,-1,-2,-1,0,0,2,-2,4,0,0,1,-1,0,-1,0,0,0,0,0,-1,-2
