節,開催日,,相手,スコア,,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2.23,(土),広島,1-1,A,Ｅスタ,"14,084",晴,45,38,5.4%,7,14.3%,49.4%,13.97,11.77,92.33,16.58,北川,ヤン　ヨンソン
2,3.2,(土),Ｇ大阪,2-4,H,アイスタ,"16,710",晴,57,41,16.3%,17,11.8%,38.7%,14.40,10.12,76.72,16.40,"中村,滝",ヤン　ヨンソン
3,3.9,(土),札幌,2-5,A,札幌ド,"22,692",屋内,42,50,16.1%,18,11.1%,49.6%,15.66,11.24,83.79,18.48,"松原,滝",ヤン　ヨンソン
4,3.17,(日),神戸,1-1,A,ノエスタ,"22,542",晴,65,55,18.3%,20,5.0%,40.0%,21.33,17.15,101.97,13.66,鄭大世,ヤン　ヨンソン
5,3.31,(日),湘南,1-3,H,アイスタ,"17,169",晴,58,49,7.9%,10,10.0%,55.8%,17.95,14.23,80.32,12.97,金子,ヤン　ヨンソン
6,4.6,(土),FC東京,1-2,A,味スタ,"22,302",晴,51,40,12.2%,16,6.3%,47.9%,14.48,10.51,94.43,17.53,北川,ヤン　ヨンソン
7,4.14,(日),磐田,2-1,A,エコパ,"31,144",曇のち雨,45,51,11.5%,14,14.3%,43.7%,11.24,9.18,103.12,15.73,"鄭大世,北川",ヤン　ヨンソン
8,4.20,(土),Ｃ大阪,1-0,H,アイスタ,"11,028",曇,53,52,11.5%,13,7.7%,37.8%,10.71,6.21,89.03,16.34,北川,ヤン　ヨンソン
9,4.28,(日),浦和,0-2,H,アイスタ,"18,246",曇,37,65,6.5%,7,0.0%,46.7%,14.75,12.52,94.27,12.59,,ヤン　ヨンソン
10,5.3,(金),鹿島,0-3,A,カシマ,"31,182",晴のち曇,48,36,9.9%,11,0.0%,41.5%,12.38,9.66,57.85,17.20,,ヤン　ヨンソン
11,5.12,(日),川崎Ｆ,0-4,H,アイスタ,"14,125",晴,38,40,7.6%,9,0.0%,49.8%,12.96,10.35,108.76,14.94,,ヤン　ヨンソン
12,5.18,(土),大分,1-1,A,昭和電ド,"11,563",屋内,47,72,15.1%,13,7.7%,33.3%,8.10,7.08,42.80,11.20,ドウグラス,篠田　善之
13,5.25,(土),仙台,4-3,H,アイスタ,"12,234",晴,47,48,10.6%,13,30.8%,48.8%,16.74,11.10,99.05,22.99,"北川,エウシーニョ,ドウグラスx2",篠田　善之
14,6.1,(土),松本,1-1,A,サンアル,"16,236",晴,43,50,10.6%,12,8.3%,50.0%,10.88,8.41,88.27,14.45,ドウグラス,篠田　善之
