節,開催日,,相手,スコア,,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2.23,(日),清水,3-1,A,アイスタ,"17,549",晴,59,39,10.2%,12,25.0%,40.1%,11.78,9.61,87.57,14.88,"Ｄオリヴェイラ,アダイウトン,レアンドロ",長谷川　健太
2,7.4,(土),柏,1-0,A,三協Ｆ柏,0,曇,54,44,9.6%,11,9.1%,45.2%,13.15,10.32,80.38,11.36,渡辺,長谷川　健太
3,7.8,(水),川崎Ｆ,0-4,H,味スタ,0,晴,57,27,10.2%,12,0.0%,43.5%,12.75,10.62,88.09,10.67,,長谷川　健太
4,7.12,(日),横浜FM,3-1,A,日産ス,"4,769",曇,41,34,5.7%,8,37.5%,34.9%,5.46,4.13,132.06,25.87,"Ｄオリヴェイラ,レアンドロx2",長谷川　健太
5,7.18,(土),浦和,2-0,H,味スタ,"4,705",曇,58,46,13.5%,13,15.4%,45.4%,14.85,12.65,74.43,16.04,"Ｄオリヴェイラ,アダイウトン",長谷川　健太
6,7.22,(水),札幌,1-1,A,札幌ド,"3,151",屋内,45,55,11.8%,14,7.1%,52.0%,13.74,11.78,102.85,13.88,室屋,長谷川　健太
7,7.26,(日),鹿島,2-2,A,カシマ,"3,027",曇一時雨,61,40,13.0%,16,12.5%,49.1%,14.85,11.15,95.95,13.44,"渡辺,森重",長谷川　健太
8,8.1,(土),鳥栖,2-3,H,味スタ,"4,760",晴,61,55,10.3%,12,16.7%,51.2%,19.63,13.65,73.04,10.42,"レアンドロ,原",長谷川　健太
9,8.9,(日),Ｃ大阪,0-0,A,ヤンマー,"4,840",晴,63,42,16.7%,18,0.0%,42.9%,15.11,11.17,84.97,17.14,,長谷川　健太
10,8.15,(土),名古屋,1-0,H,味スタ,"4,435",晴,56,59,13.6%,14,7.1%,42.5%,15.18,13.25,75.49,12.98,レアンドロ,長谷川　健太
11,8.19,(水),広島,3-3,A,Ｅスタ,"2,033",晴,51,34,9.3%,10,30.0%,36.8%,9.71,7.07,80.99,19.95,"Ｄオリヴェイラ,安部,レアンドロ",長谷川　健太
12,8.23,(日),湘南,3-0,H,味スタ,"4,599",晴,61,57,15.5%,17,17.6%,44.5%,16.24,13.74,84.15,10.53,"永井,Ｄオリヴェイラ,原",長谷川　健太
26,8.26,(水),鹿島,1-2,H,味スタ,"4,390",晴,50,42,9.5%,11,0.0%,46.8%,7.91,6.08,71.82,12.72,OG,長谷川　健太
13,8.29,(土),Ｇ大阪,3-1,A,パナスタ,"4,967",曇,49,54,11.3%,13,23.1%,42.8%,12.81,12.18,82.50,13.05,"Ｄオリヴェイラ,レアンドロ,アダイウトン",長谷川　健太
14,9.5,(土),大分,1-0,A,昭和電ド,"4,518",曇,51,63,13.3%,14,7.1%,40.2%,12.46,10.86,88.23,13.07,安部,長谷川　健太
15,9.9,(水),横浜FC,2-1,H,味スタ,"4,941",晴,52,48,10.8%,11,18.2%,49.9%,13.15,10.90,75.58,12.77,"田川,原",長谷川　健太
