節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2019-02-23,(土),鳥栖,4-0,4,0,1,1,駅スタ,18382,晴,63,55,0.112,15,0.267,0.574,23.56,21.9,130.58,10.52,"['ジョーx2', '相馬', '和泉']",風間　八宏
2,2019-03-02,(土),Ｃ大阪,2-0,2,0,1,0,パロ瑞穂,19861,晴,73,85,0.14,15,0.133,0.576,24.5,22.56,70.91,7.2,['赤崎x2'],風間　八宏
3,2019-03-09,(土),Ｇ大阪,3-2,3,2,1,1,パナスタ,26865,晴,63,46,0.128,17,0.118,0.497,20.78,18.05,108.6,11.21,"['赤崎', 'Ｊシミッチ', 'OG']",風間　八宏
4,2019-03-17,(日),FC東京,0-1,0,1,2,1,味スタ,25656,晴,62,52,0.105,14,0.0,0.613,23.72,19.28,78.81,11.63,[''],風間　八宏
5,2019-03-03,(土),札幌,4-0,4,0,1,0,豊田ス,31083,曇時々雨,67,46,0.15,21,0.143,0.542,29.16,23.68,120.29,14.95,"['長谷川', 'Ｇシャビエルx2', 'OG']",風間　八宏
6,2019-04-05,(金),鹿島,1-2,1,2,2,1,カシマ,14163,晴,60,47,0.08,11,0.091,0.579,19.25,16.47,117.32,8.81,['Ｇシャビエル'],風間　八宏
7,2019-04-13,(土),横浜FM,1-1,1,1,0,1,日産ス,22667,晴,70,54,0.141,18,0.056,0.426,18.79,16.52,104.36,13.41,['ジョー'],風間　八宏
8,2019-04-02,(土),磐田,1-0,1,0,1,0,豊田ス,28585,曇時々晴,50,47,0.038,5,0.2,0.626,18.23,16.64,105.26,13.19,['ジョー'],風間　八宏
9,2019-04-28,(日),広島,1-0,1,0,1,0,豊田ス,40000,曇,59,49,0.134,16,0.063,0.536,26.13,21.37,101.46,15.68,['前田'],風間　八宏
10,2019-05-04,(土),湘南,1-1,1,1,0,1,ＢＭＷス,14221,曇のち雨,71,49,0.154,21,0.048,0.567,28.14,25.9,99.89,12.69,['Ｊシミッチ'],風間　八宏
11,2019-05-12,(日),浦和,2-0,2,0,1,0,豊田ス,30839,晴,63,60,0.143,17,0.118,0.638,31.76,26.21,89.03,12.47,"['マテウス', 'ジョー']",風間　八宏
12,2019-05-17,(金),川崎Ｆ,1-1,1,1,0,1,等々力,24821,晴,69,54,0.075,9,0.111,0.541,24.1,20.26,99.05,12.62,['マテウス'],風間　八宏
13,2019-05-26,(日),松本,0-1,0,1,2,0,豊田ス,29181,晴,59,56,0.09,12,0.0,0.674,24.53,22.11,105.01,8.39,[''],風間　八宏
14,2019-06-01,(土),仙台,1-3,1,3,2,1,ユアスタ,12853,晴,60,57,0.078,10,0.1,0.616,23.74,20.5,108.72,13.85,['マテウス'],風間　八宏
15,2019-06-15,(土),大分,1-1,1,1,0,1,昭和電ド,14346,晴,79,76,0.181,21,0.048,0.609,41.15,34.97,94.13,6.1,['宮原'],風間　八宏
16,2019-06-22,(土),清水,1-2,1,2,2,0,パロ瑞穂,19501,晴,64,53,0.094,12,0.083,0.655,27.55,24.28,78.9,8.9,['前田'],風間　八宏
17,2019-06-03,(日),神戸,3-5,3,5,2,1,ノエスタ,22123,曇,65,58,0.195,22,0.136,0.606,26.88,23.93,89.98,7.7,"['和泉', '宮原', '中谷']",風間　八宏
18,2019-07-07,(日),湘南,0-2,0,2,2,0,パロ瑞穂,14651,晴,62,54,0.234,30,0.0,0.677,29.76,21.92,83.1,6.38,[''],風間　八宏
19,2019-07-13,(土),Ｃ大阪,0-3,0,3,2,1,ヤンマー,16382,雨,65,55,0.148,16,0.0,0.546,25.41,22.86,93.25,10.44,[''],風間　八宏
20,2019-07-02,(土),Ｇ大阪,2-2,2,2,0,0,豊田ス,42975,曇,53,55,0.151,13,0.154,0.471,21.07,16.73,63.99,9.85,"['前田', '宮原']",風間　八宏
21,2019-08-04,(日),浦和,2-2,2,2,0,1,埼玉,37238,晴,54,47,0.178,19,0.105,0.42,20.88,16.28,83.83,18.09,"['和泉', '前田']",風間　八宏
22,2019-08-01,(土),川崎Ｆ,3-0,3,0,1,0,豊田ス,42819,晴,51,47,0.101,11,0.273,0.47,18.74,15.74,84.33,11.64,"['和泉x2', '前田']",風間　八宏
