Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2019-02-23,yokohama-fc,9,1-1,1,1,0,0,ノエスタ,25059,晴,61,69,0.142,17,0.059,0.654,26.15,22.01,103.27,10.94,['古橋'],トルステン　フィンク
2,2019-07-04,sanfrecce-hiroshima,16,0-3,0,3,2,0,ノエスタ,0,曇,53,51,0.175,20,0.0,0.658,24.77,20.16,88.49,7.51,[''],トルステン　フィンク
3,2019-07-08,sagan-tosu,17,1-0,1,0,1,1,駅スタ,0,曇,48,58,0.087,9,0.111,0.648,23.17,21.28,84.26,10.49,['ドウグラス'],トルステン　フィンク
4,2019-07-11,oita-trinita,18,1-1,1,1,0,1,昭和電ド,4263,屋内,40,67,0.137,14,0.071,0.608,17.92,14.68,59.02,9.52,['古橋'],トルステン　フィンク
5,2019-07-18,shimizu-s-pulse,11,3-1,3,1,1,0,ノエスタ,3494,晴,50,50,0.16,17,0.176,0.524,16.64,13.52,72.06,10.76,"['ドウグラス', '古橋x2']",トルステン　フィンク
6,2019-07-22,cerezo-osaka,14,0-0,0,0,0,1,ヤンマー,4981,雨のち曇,48,61,0.103,8,0.0,0.486,14.43,12.53,59.42,9.26,[''],トルステン　フィンク
7,2019-07-26,gamba-osaka,13,0-2,0,2,2,0,ノエスタ,4746,曇,45,49,0.12,14,0.0,0.625,20.19,18.43,85.7,9.33,[''],トルステン　フィンク
8,2019-08-02,consadole-sapporo,1,3-2,3,2,1,1,札幌ド,4675,屋内,38,44,0.12,13,0.231,0.498,14.4,13.11,71.09,17.68,"['ドウグラス', '山口x2']",トルステン　フィンク
9,2019-08-08,vegalta-sendai,2,1-2,1,2,2,0,ノエスタ,4333,晴,62,61,0.223,23,0.043,0.631,26.19,17.72,57.16,8.25,['藤本'],トルステン　フィンク
10,2019-08-16,kashima-antlers,3,2-2,2,2,0,1,カシマ,4766,晴のち曇,43,48,0.101,13,0.154,0.531,14.66,10.89,102.7,11.25,"['ダンクレー', '郷家']",トルステン　フィンク
11,2019-08-19,kashiwa-reysol,5,2-3,2,3,2,0,ノエスタ,3578,晴,57,56,0.176,21,0.095,0.644,23.45,18.36,62.2,6.34,"['郷家', 'ドウグラス']",トルステン　フィンク
12,2019-08-23,urawa-red-diamonds,4,2-1,2,1,1,1,埼玉,4435,晴,51,53,0.17,18,0.111,0.506,15.22,9.86,72.99,16.24,"['小川', '山口']",トルステン　フィンク
