,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,kawasaki-frontale,albirex-niigata,sanfrecce-hiroshima,vegalta-sendai,kashiwa-reysol,fc-tokyo,sagan-tosu,ventforet-kofu,gamba-osaka,vissel-kobe,omiya-ardija,jubilo-iwata,consadole-sapporo,shimizu-s-pulse,cerezo-osaka
2017-10-15,1615,1590,1572,1635,1358,1495,1449,1564,1519,1522,1419,1522,1508,1435,1496,1413,1403,1474
2017-10-16,1615,1590,1572,1635,1358,1495,1449,1564,1517,1513,1422,1522,1508,1435,1496,1413,1403,1483
2017-10-17,1615,1590,1572,1635,1358,1495,1449,1564,1517,1513,1422,1522,1508,1435,1496,1413,1403,1483
2017-10-18,1615,1590,1572,1635,1358,1495,1449,1564,1517,1513,1422,1522,1508,1435,1496,1413,1403,1483
2017-10-19,1615,1590,1572,1635,1358,1495,1449,1564,1517,1513,1422,1522,1508,1435,1496,1413,1403,1483
2017-10-20,1615,1590,1572,1635,1358,1495,1449,1564,1517,1513,1422,1522,1508,1435,1496,1413,1403,1483
2017-10-21,1615,1590,1572,1635,1358,1495,1449,1564,1517,1513,1422,1522,1508,1435,1496,1413,1403,1483
2017-10-22,1606,1590,1581,1640,1361,1490,1448,1561,1507,1521,1415,1522,1500,1438,1493,1423,1404,1489
2017-10-23,1606,1589,1581,1640,1361,1490,1448,1561,1507,1521,1415,1524,1500,1438,1493,1423,1404,1489
2017-10-24,1606,1589,1581,1640,1361,1490,1448,1561,1507,1521,1415,1524,1500,1438,1493,1423,1404,1489
2017-10-25,1606,1589,1581,1640,1361,1490,1448,1561,1507,1521,1415,1524,1500,1438,1493,1423,1404,1489
2017-10-26,1606,1589,1581,1640,1361,1490,1448,1561,1507,1521,1415,1524,1500,1438,1493,1423,1404,1489
2017-10-27,1606,1589,1581,1640,1361,1490,1448,1561,1507,1521,1415,1524,1500,1438,1493,1423,1404,1489
2017-10-28,1606,1589,1581,1640,1361,1490,1448,1561,1507,1521,1415,1524,1500,1438,1493,1423,1404,1489
2017-10-29,1606,1589,1581,1640,1361,1490,1448,1561,1507,1521,1415,1524,1500,1438,1493,1423,1404,1489
2017-10-30,1611,1595,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-10-31,1611,1595,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-01,1611,1595,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-02,1611,1595,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-03,1611,1595,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-04,1611,1595,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-05,1611,1595,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-06,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-07,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-08,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-09,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-10,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-11,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-12,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-13,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-14,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-15,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-16,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-17,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-18,1618,1587,1571,1639,1372,1484,1450,1563,1505,1509,1409,1522,1506,1431,1503,1419,1407,1496
2017-11-19,1618,1587,1562,1644,1381,1493,1458,1569,1497,1517,1400,1517,1498,1424,1496,1427,1399,1506
2017-11-20,1618,1587,1562,1644,1381,1493,1458,1569,1497,1517,1400,1517,1498,1424,1496,1427,1399,1506
2017-11-21,1618,1587,1562,1644,1381,1493,1458,1569,1497,1517,1400,1517,1498,1424,1496,1427,1399,1506
2017-11-22,1618,1587,1562,1644,1381,1493,1458,1569,1497,1517,1400,1517,1498,1424,1496,1427,1399,1506
2017-11-23,1618,1587,1562,1644,1381,1493,1458,1569,1497,1517,1400,1517,1498,1424,1496,1427,1399,1506
2017-11-24,1618,1587,1562,1644,1381,1493,1458,1569,1497,1517,1400,1517,1498,1424,1496,1427,1399,1506
2017-11-25,1618,1587,1562,1644,1381,1493,1458,1569,1497,1517,1400,1517,1498,1424,1496,1427,1399,1506
2017-11-26,1618,1587,1562,1644,1381,1493,1458,1569,1497,1517,1400,1517,1498,1424,1496,1427,1399,1506
2017-11-27,1617,1587,1559,1644,1389,1501,1460,1571,1489,1509,1401,1507,1490,1423,1504,1437,1390,1514
2017-11-28,1617,1587,1559,1644,1389,1501,1460,1571,1489,1509,1401,1507,1490,1423,1504,1437,1390,1514
2017-11-29,1617,1587,1559,1644,1389,1501,1460,1571,1489,1509,1401,1507,1490,1423,1504,1437,1390,1514
2017-11-30,1617,1580,1559,1651,1389,1501,1460,1571,1489,1509,1401,1507,1490,1423,1504,1437,1390,1514
2017-12-01,1617,1580,1559,1651,1389,1501,1460,1571,1489,1509,1401,1507,1490,1423,1504,1437,1390,1514
2017-12-02,1617,1580,1559,1651,1389,1501,1460,1571,1489,1509,1401,1507,1490,1423,1504,1437,1390,1514
2017-12-03,1615,1572,1568,1654,1400,1494,1451,1577,1489,1499,1410,1506,1480,1420,1507,1446,1401,1503
