,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
22,24,2018-07-21,(土),東京Ｖ,0-0,0,0,0,レベスタ,7294,晴,60,59,0.116,13,0.0,0.444,13.91,13.32,83.6,14.76,[''],井原　正巳
23,25,2018-07-25,(水),徳島,1-3,1,3,1,鳴門大塚,3787,晴,52,47,0.13,14,0.071,0.561,19.81,18.34,77.63,11.56,['城後'],井原　正巳
24,27,2018-08-04,(土),甲府,2-1,2,1,1,中銀スタ,7064,晴,40,42,0.124,12,0.167,0.366,8.64,6.75,53.15,23.5,['松田x2'],井原　正巳
25,28,2018-08-11,(土),水戸,2-0,2,0,0,レベスタ,9012,曇,58,70,0.222,22,0.091,0.485,12.96,10.27,63.4,12.64,"['ドゥドゥ', 'レオミネイロ']",井原　正巳
26,29,2018-08-18,(土),栃木,0-1,0,1,1,栃木グ,5048,晴,58,47,0.082,10,0.0,0.578,13.93,11.76,88.67,17.05,[''],井原　正巳
27,30,2018-08-26,(日),新潟,3-0,3,0,1,デンカＳ,10463,雨,37,41,0.071,8,0.375,0.472,11.68,10.08,54.87,19.02,"['石津', 'ドゥドゥ', '松田']",井原　正巳
28,31,2018-09-01,(土),大分,1-0,1,0,0,レベスタ,10120,曇,56,43,0.165,17,0.059,0.422,15.22,12.09,48.99,15.56,['レオミネイロ'],井原　正巳
29,32,2018-09-08,(土),松本,0-1,0,1,0,レベスタ,9090,曇,63,50,0.176,19,0.0,0.556,16.29,13.96,66.22,15.37,[''],井原　正巳
30,26,2018-09-12,(水),横浜FC,0-0,0,0,0,レベスタ,7307,曇,46,64,0.143,16,0.0,0.572,13.18,10.83,61.25,8.79,[''],井原　正巳
31,33,2018-09-16,(日),千葉,3-3,3,3,1,フクアリ,10588,曇,58,64,0.145,16,0.188,0.441,13.95,8.97,69.91,11.95,"['鈴木', '吉本', '城後']",井原　正巳
32,34,2018-09-22,(土),愛媛,3-2,3,2,1,ニンスタ,2826,晴,66,56,0.25,25,0.12,0.533,21.17,13.74,73.22,10.7,"['石津', 'ドゥドゥx2']",井原　正巳
33,22,2018-09-26,(水),京都,0-1,0,1,1,西京極,2624,雨,57,63,0.165,20,0.0,0.565,20.82,16.27,80.91,9.52,[''],井原　正巳
34,35,2018-09-29,(土),大宮,3-1,3,1,0,レベスタ,7388,曇時々雨,45,52,0.108,15,0.2,0.483,12.02,10.6,99.16,18.52,"['城後x2', '山瀬']",井原　正巳
35,36,2018-10-06,(土),岡山,1-1,1,1,0,レベスタ,7444,曇,50,51,0.094,12,0.083,0.52,14.01,11.17,72.34,11.86,['城後'],井原　正巳
36,37,2018-10-13,(土),山口,1-0,1,0,1,みらスタ,7015,晴のち曇,44,43,0.044,6,0.167,0.424,9.21,8.45,99.91,23.53,['松田'],井原　正巳
37,38,2018-10-21,(日),山形,2-2,2,2,1,ＮＤスタ,5851,晴,44,54,0.098,13,0.154,0.511,14.56,12.6,86.74,13.3,"['石津', 'レオミネイロ']",井原　正巳
38,39,2018-10-28,(日),金沢,2-2,2,2,0,レベスタ,13008,晴,49,45,0.084,12,0.167,0.51,15.23,10.79,89.6,22.47,"['石津', 'レオミネイロ']",井原　正巳
39,40,2018-11-04,(日),町田,1-2,1,2,1,町田,6216,曇,50,45,0.029,4,0.25,0.532,11.15,7.45,68.85,16.42,['城後'],井原　正巳
40,41,2018-11-11,(日),熊本,1-0,1,0,0,レベスタ,15331,晴,54,67,0.151,16,0.063,0.435,14.38,11.01,86.56,19.08,['石津'],井原　正巳
41,42,2018-11-17,(土),岐阜,0-0,0,0,1,長良川,8870,晴,57,45,0.102,14,0.0,0.441,15.54,11.77,79.71,16.47,[''],井原　正巳
