節,開催日,曜日,相手,team_id,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2018-02-24,(土),FC東京,6,1-1,1,1,0,1,味スタ,35951,晴,60,68,0.093,11,0.091,0.601,21.6,17.41,100.17,7.77,['槙野'],堀　孝史
2,2018-03-04,(日),広島,16,1-2,1,2,2,0,埼玉,41324,晴,48,53,0.105,13,0.077,0.653,21.27,15.74,99.12,9.36,['青木'],堀　孝史
3,2018-03-01,(土),長崎,0,1-1,1,1,0,1,トラスタ,15975,晴,61,55,0.118,16,0.063,0.618,23.05,21.35,85.86,13.34,['ズラタン'],堀　孝史
4,2018-03-18,(日),横浜FM,8,0-1,0,1,2,0,埼玉,33168,曇,49,43,0.087,10,0.0,0.41,11.79,8.25,74.71,15.1,[''],堀　孝史
5,2018-04-01,(日),磐田,0,1-2,1,2,2,1,エコパ,21755,晴,20,47,0.068,8,0.125,0.568,13.63,12.1,60.59,12.32,['興梠'],堀　孝史
6,2018-04-07,(土),仙台,2,1-0,1,0,1,0,埼玉,28984,曇,49,44,0.093,11,0.091,0.456,14.86,12.13,81.29,19.83,['興梠'],大槻　毅
7,2018-04-11,(水),神戸,15,3-2,3,2,1,1,ノエスタ,9758,屋内,50,61,0.109,12,0.25,0.383,12.2,8.12,68.15,14.08,"['武藤', '岩波', 'マウリシオ']",大槻　毅
8,2018-04-15,(日),清水,11,2-1,2,1,1,0,埼玉,28295,曇,45,58,0.093,11,0.182,0.532,17.89,13.23,121.4,13.48,['興梠x2'],大槻　毅
9,2018-04-21,(土),札幌,1,0-0,0,0,0,0,埼玉,39091,晴,58,55,0.138,16,0.0,0.497,22.45,17.39,64.79,12.96,[''],大槻　毅
10,2018-04-25,(水),柏,5,0-1,0,1,2,1,三協Ｆ柏,11257,曇,52,60,0.075,11,0.0,0.46,11.73,10.18,113.54,10.57,[''],オズワルド　オリヴェイラ
11,2018-04-28,(土),湘南,10,0-1,0,1,2,0,埼玉,33132,晴,64,53,0.108,14,0.0,0.624,25.37,20.8,85.74,11.78,[''],オズワルド　オリヴェイラ
12,2018-05-02,(水),川崎Ｆ,7,2-0,2,0,1,1,等々力,22817,雨,50,48,0.128,12,0.167,0.379,11.62,9.59,86.58,14.35,['興梠x2'],オズワルド　オリヴェイラ
13,2018-05-05,(土),鹿島,3,0-1,0,1,2,1,カシマ,33647,晴,50,63,0.14,16,0.0,0.584,18.21,15.06,83.82,9.27,[''],オズワルド　オリヴェイラ
