節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2018-02-25,(日),岡山,0-1,0,1,2,0,鳴門大塚,8753,曇一時雨,55,47,0.137,17,0.0,0.705,26.98,20.86,81.08,12.47,[''],リカルド　ロドリゲス
2,2018-03-04,(日),熊本,1-2,1,2,2,1,えがおＳ,5197,晴,56,38,0.106,13,0.077,0.637,22.62,18.65,70.27,16.64,['島屋'],リカルド　ロドリゲス
3,2018-03-01,(土),大宮,1-0,1,0,1,1,ＮＡＣＫ,6989,晴,53,53,0.083,12,0.083,0.57,21.99,18.38,111.47,12.14,['内田裕'],リカルド　ロドリゲス
4,2018-03-17,(土),千葉,4-1,4,1,1,0,鳴門大塚,5074,晴,62,64,0.155,23,0.174,0.585,22.28,19.25,125.41,11.87,"['呉屋', '杉本太', 'シシーニョ', '島屋']",リカルド　ロドリゲス
5,2018-03-21,(水),甲府,1-0,1,0,1,1,中銀スタ,3130,雪,44,63,0.09,12,0.0,0.609,14.0,11.76,95.3,11.65,['OG'],リカルド　ロドリゲス
6,2018-03-25,(日),新潟,0-1,0,1,2,1,デンカＳ,13576,晴,49,58,0.058,9,0.0,0.641,20.45,17.7,121.18,9.7,[''],リカルド　ロドリゲス
7,2018-04-01,(日),東京Ｖ,0-4,0,4,2,0,鳴門大塚,5303,晴,68,60,0.107,12,0.0,0.644,26.63,20.47,90.7,7.39,[''],リカルド　ロドリゲス
8,2018-04-08,(日),栃木,1-1,1,1,0,1,栃木グ,4087,晴,67,46,0.079,11,0.091,0.596,17.61,12.88,111.16,14.08,['井筒'],リカルド　ロドリゲス
9,2018-04-15,(日),岐阜,0-0,0,0,0,1,長良川,7217,晴,65,44,0.125,16,0.0,0.547,20.81,15.91,86.52,13.8,[''],リカルド　ロドリゲス
10,2018-04-22,(日),讃岐,0-1,0,1,2,0,鳴門大塚,6017,晴,81,61,0.244,29,0.0,0.667,35.47,23.99,69.47,7.86,[''],リカルド　ロドリゲス
11,2018-04-28,(土),横浜FC,0-1,0,1,2,1,ニッパツ,3993,晴,60,50,0.164,19,0.0,0.657,26.37,21.6,62.51,11.02,[''],リカルド　ロドリゲス
12,2018-05-03,(木),愛媛,2-0,2,0,1,0,鳴門大塚,6756,晴,62,66,0.152,17,0.118,0.537,18.31,14.62,94.27,10.87,"['前川', '狩野']",リカルド　ロドリゲス
13,2018-05-06,(日),水戸,1-0,1,0,1,1,Ｋｓスタ,3605,晴,44,48,0.046,6,0.167,0.513,11.24,9.48,73.68,13.82,['山崎'],リカルド　ロドリゲス
