,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2020-02-23,(日),清水,3-1,3,1,A,アイスタ,17549,晴,59,39,0.102,12,0.25,0.401,11.78,9.61,87.57,14.88,"['Ｄオリヴェイラ', 'アダイウトン', 'レアンドロ']",長谷川　健太
1,2,2020-07-04,(土),柏,1-0,1,0,A,三協Ｆ柏,0,曇,54,44,0.096,11,0.091,0.452,13.15,10.32,80.38,11.36,['渡辺'],長谷川　健太
2,3,2020-07-08,(水),川崎Ｆ,0-4,0,4,H,味スタ,0,晴,57,27,0.102,12,0.0,0.435,12.75,10.62,88.09,10.67,[''],長谷川　健太
3,4,2020-07-12,(日),横浜FM,3-1,3,1,A,日産ス,4769,曇,41,34,0.057,8,0.375,0.349,5.46,4.13,132.06,25.87,"['Ｄオリヴェイラ', 'レアンドロx2']",長谷川　健太
4,5,2020-07-18,(土),浦和,2-0,2,0,H,味スタ,4705,曇,58,46,0.135,13,0.154,0.454,14.85,12.65,74.43,16.04,"['Ｄオリヴェイラ', 'アダイウトン']",長谷川　健太
5,6,2020-07-22,(水),札幌,1-1,1,1,A,札幌ド,3151,屋内,45,55,0.118,14,0.071,0.52,13.74,11.78,102.85,13.88,['室屋'],長谷川　健太
6,7,2020-07-26,(日),鹿島,2-2,2,2,A,カシマ,3027,曇一時雨,61,40,0.13,16,0.125,0.491,14.85,11.15,95.95,13.44,"['渡辺', '森重']",長谷川　健太
7,8,2020-08-01,(土),鳥栖,2-3,2,3,H,味スタ,4760,晴,61,55,0.103,12,0.167,0.512,19.63,13.65,73.04,10.42,"['レアンドロ', '原']",長谷川　健太
8,9,2020-08-09,(日),Ｃ大阪,0-0,0,0,A,ヤンマー,4840,晴,63,42,0.167,18,0.0,0.429,15.11,11.17,84.97,17.14,[''],長谷川　健太
9,10,2020-08-15,(土),名古屋,1-0,1,0,H,味スタ,4435,晴,56,59,0.136,14,0.071,0.425,15.18,13.25,75.49,12.98,['レアンドロ'],長谷川　健太
10,11,2020-08-19,(水),広島,3-3,3,3,A,Ｅスタ,2033,晴,51,34,0.093,10,0.3,0.368,9.71,7.07,80.99,19.95,"['Ｄオリヴェイラ', '安部', 'レアンドロ']",長谷川　健太
11,12,2020-08-23,(日),湘南,3-0,3,0,H,味スタ,4599,晴,61,57,0.155,17,0.176,0.445,16.24,13.74,84.15,10.53,"['永井', 'Ｄオリヴェイラ', '原']",長谷川　健太
12,26,2020-08-26,(水),鹿島,1-2,1,2,H,味スタ,4390,晴,50,42,0.095,11,0.0,0.468,7.91,6.08,71.82,12.72,['OG'],長谷川　健太
13,13,2020-08-29,(土),Ｇ大阪,3-1,3,1,A,パナスタ,4967,曇,49,54,0.113,13,0.231,0.428,12.81,12.18,82.5,13.05,"['Ｄオリヴェイラ', 'レアンドロ', 'アダイウトン']",長谷川　健太
14,14,2020-09-05,(土),大分,1-0,1,0,A,昭和電ド,4518,曇,51,63,0.133,14,0.071,0.402,12.46,10.86,88.23,13.07,['安部'],長谷川　健太
15,15,2020-09-09,(水),横浜FC,2-1,2,1,H,味スタ,4941,晴,52,48,0.108,11,0.182,0.499,13.15,10.9,75.58,12.77,"['田川', '原']",長谷川　健太
16,16,2020-09-12,(土),神戸,2-2,2,2,A,ノエスタ,4102,晴,53,54,0.083,9,0.222,0.377,12.84,10.05,87.99,13.06,"['アダイウトン', 'Ｄオリヴェイラ']",長谷川　健太
17,24,2020-09-16,(水),大分,2-3,2,3,H,味スタ,4782,曇,55,61,0.186,21,0.095,0.467,18.45,14.94,84.6,10.93,"['レアンドロ', '品田']",長谷川　健太
18,17,2020-09-02,(日),仙台,1-0,1,0,H,味スタ,4981,曇,48,53,0.098,12,0.083,0.441,10.77,10.03,102.51,14.91,['三田'],長谷川　健太
19,18,2020-09-23,(水),Ｃ大阪,2-0,2,0,H,味スタ,4316,雨,56,62,0.126,13,0.154,0.349,11.94,9.85,82.46,12.11,"['Ｄオリヴェイラ', 'アダイウトン']",長谷川　健太
20,19,2020-09-27,(日),鳥栖,0-3,0,3,A,駅スタ,4434,晴,55,58,0.097,12,0.0,0.458,15.59,11.5,100.07,9.72,[''],長谷川　健太
21,29,2020-09-03,(水),浦和,1-0,1,0,A,埼玉,5623,晴,54,50,0.083,10,0.1,0.418,11.74,10.29,102.56,14.8,['永井'],長谷川　健太
22,20,2020-10-04,(日),湘南,1-0,1,0,A,ＢＭＷス,4691,曇,50,58,0.072,10,0.1,0.477,12.67,9.0,119.23,13.72,['アダイウトン'],長谷川　健太
23,21,2020-10-01,(土),Ｇ大阪,0-1,0,1,H,味スタ,8166,雨,65,59,0.113,18,0.0,0.537,12.19,10.92,103.08,13.57,[''],長谷川　健太
24,22,2020-10-14,(水),清水,3-1,3,1,H,味スタ,3812,曇,53,49,0.119,14,0.214,0.438,10.92,9.34,103.47,11.08,"['田川', '永井', 'アダイウトン']",長谷川　健太
25,23,2020-10-18,(日),横浜FC,0-1,0,1,A,ニッパツ,5163,曇,62,62,0.198,25,0.0,0.425,12.85,9.22,101.72,8.78,[''],長谷川　健太
26,28,2020-10-24,(土),横浜FM,0-4,0,4,H,味スタ,9518,晴,58,47,0.136,18,0.0,0.383,16.12,10.28,112.34,14.28,[''],長谷川　健太
27,30,2020-10-28,(水),柏,1-3,1,3,H,味スタ,6632,曇,57,52,0.121,17,0.059,0.485,19.79,16.68,107.76,15.09,['アダイウトン'],長谷川　健太
28,25,2020-10-31,(土),川崎Ｆ,1-2,1,2,A,等々力,11061,晴,49,23,0.093,10,0.1,0.361,10.3,8.17,72.72,14.94,['Ｄオリヴェイラ'],長谷川　健太
29,33,2020-11-11,(水),札幌,1-0,1,0,H,味スタ,6357,晴,47,37,0.09,11,0.091,0.429,7.62,6.96,103.12,19.69,['永井'],長谷川　健太
30,27,2020-11-15,(日),名古屋,0-1,0,1,A,豊田ス,16709,曇,39,48,0.061,7,0.0,0.478,12.54,10.14,87.7,13.5,[''],長谷川　健太
31,32,2020-11-18,(水),仙台,2-2,2,2,A,ユアスタ,3030,曇,52,46,0.084,10,0.2,0.467,15.17,11.58,85.51,18.55,"['レアンドロ', '高萩']",長谷川　健太
32,31,2020-12-12,(土),広島,1-0,1,0,H,味スタ,9755,晴時々曇,56,29,0.059,7,0.143,0.405,11.62,10.3,71.15,24.5,['中村帆'],長谷川　健太
