節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
12,2020-08-23,(日),広島,3-1,3,1,1,0,日産ス,4771,晴,55,52,0.102,13,0.231,0.564,21.21,16.54,92.28,13.9,"['Ｍジュニオール', 'Ｊサントス', 'エリキ']",アンジェ　ポステコグルー
29,2020-08-26,(水),札幌,4-1,4,1,1,0,日産ス,4181,晴,61,50,0.136,18,0.222,0.577,22.7,17.4,98.17,16.04,"['Ｊサントスx2', '畠中', '仲川']",アンジェ　ポステコグルー
13,2020-08-29,(土),神戸,3-3,3,3,0,1,ノエスタ,4393,晴,56,56,0.111,14,0.214,0.46,15.85,12.39,85.35,11.98,"['Ｍジュニオールx2', '仲川']",アンジェ　ポステコグルー
14,2020-09-05,(土),川崎Ｆ,1-3,1,3,2,0,日産ス,4971,晴時々雨,50,38,0.09,11,0.091,0.505,21.9,16.23,93.04,18.49,['Ｍジュニオール'],アンジェ　ポステコグルー
15,2020-09-09,(水),名古屋,1-2,1,2,2,1,パロ瑞穂,4005,曇,42,46,0.062,8,0.125,0.646,16.26,15.95,61.11,10.05,['Ｊサントス'],アンジェ　ポステコグルー
16,2020-09-13,(日),Ｃ大阪,1-2,1,2,2,0,日産ス,4918,曇,71,55,0.191,21,0.048,0.573,30.61,27.45,102.0,11.89,['エリキ'],アンジェ　ポステコグルー
24,2020-09-16,(水),清水,3-0,3,0,1,0,日産ス,4171,雨のち曇,80,65,0.16,19,0.158,0.637,35.3,27.3,133.96,10.03,"['オナイウ', 'エリキx2']",アンジェ　ポステコグルー
17,2020-09-19,(土),鳥栖,3-1,3,1,1,1,駅スタ,4925,曇,59,50,0.137,16,0.188,0.453,22.67,18.32,106.02,13.55,"['エリキ', 'Ｊサントス', 'Ｍジュニオール']",アンジェ　ポステコグルー
18,2020-09-23,(水),仙台,3-1,3,1,1,0,日産ス,3702,雨,64,61,0.174,24,0.125,0.672,33.74,25.27,142.06,15.7,"['Ｍジュニオール', 'エリキx2']",アンジェ　ポステコグルー
19,2020-09-27,(日),柏,3-1,3,1,1,1,三協Ｆ柏,2715,曇一時雨,50,42,0.075,10,0.2,0.593,18.84,15.93,88.84,19.34,"['エリキ', '前田', 'OG']",アンジェ　ポステコグルー
25,2020-09-03,(水),鳥栖,1-1,1,1,0,0,ニッパツ,3431,晴,62,53,0.125,15,0.067,0.556,24.2,19.24,85.48,10.41,['エリキ'],アンジェ　ポステコグルー
20,2020-10-04,(日),神戸,2-3,2,3,2,0,ニッパツ,7279,曇,81,86,0.227,29,0.069,0.621,33.51,27.82,102.56,7.27,"['Ｅジュニオ', '小池']",アンジェ　ポステコグルー
21,2020-10-01,(土),大分,4-0,4,0,1,0,ニッパツ,3675,雨,56,65,0.117,15,0.267,0.456,19.52,15.39,96.12,13.33,"['松原', 'Ｊサントス', 'エリキx2']",アンジェ　ポステコグルー
22,2020-10-14,(水),Ｇ大阪,1-1,1,1,0,1,パナスタ,6455,曇,52,35,0.071,10,0.0,0.49,16.74,15.12,106.26,21.4,['OG'],アンジェ　ポステコグルー
23,2020-10-17,(土),Ｃ大阪,1-4,1,4,2,1,ヤンマー,6870,雨,60,47,0.099,13,0.077,0.577,22.32,18.9,95.93,17.59,['水沼'],アンジェ　ポステコグルー
33,2020-10-21,(水),名古屋,2-1,2,1,1,0,日産ス,6607,晴,67,67,0.143,20,0.1,0.566,27.16,22.55,118.42,9.04,"['Ｅジュニオ', '渡辺']",アンジェ　ポステコグルー
28,2020-10-24,(土),FC東京,4-0,4,0,1,1,味スタ,9518,晴,53,42,0.1,12,0.25,0.617,22.69,18.41,89.92,13.85,"['Ｊサントスx2', 'エリキ', 'OG']",アンジェ　ポステコグルー
32,2020-10-28,(水),広島,1-3,1,3,2,1,Ｅスタ,1984,晴,62,43,0.071,9,0.111,0.649,26.01,23.02,83.32,9.74,['Ｔマルチンス'],アンジェ　ポステコグルー
31,2020-11-03,(火),鹿島,2-3,2,3,2,0,日産ス,20515,曇,48,37,0.106,13,0.154,0.502,17.47,14.03,75.33,24.36,"['水沼', 'エリキ']",アンジェ　ポステコグルー
26,2020-11-11,(水),湘南,0-1,0,1,2,1,ＢＭＷス,5082,晴,64,61,0.11,15,0.0,0.622,26.84,25.65,133.36,12.51,[''],アンジェ　ポステコグルー
27,2020-11-14,(土),浦和,6-2,6,2,1,0,日産ス,18148,晴,69,52,0.219,28,0.214,0.521,31.33,22.22,109.75,12.54,"['前田', '小池', '水沼', 'Ｊサントスx3']",アンジェ　ポステコグルー
30,2020-11-18,(水),川崎Ｆ,1-3,1,3,2,1,等々力,11099,晴,37,28,0.073,8,0.125,0.433,10.74,8.23,82.91,20.94,['畠中'],アンジェ　ポステコグルー
34,2020-12-19,(土),横浜FC,1-3,1,3,2,1,ニッパツ,6766,曇のち晴,69,55,0.237,27,0.037,0.605,26.16,21.74,92.4,8.95,['オナイウ'],アンジェ　ポステコグルー
